id,nom,segment,agence_id,encours,score,statut,email,telephone
CLI-10001,Meryem Alaoui,PME,AG-003,3477108.1,30,Defaut,client1@email.com,0063757321
CLI-10002,Samira Kabbaj,Particuliers,AG-001,1423708.41,72,Actif,client2@email.com,0070185958
CLI-10003,Abdellah Hakim,Professionnels,AG-014,467316.02,96,Actif,client3@email.com,0069449253
CLI-10004,Abdellah El Amrani,Grandes Entreprises,AG-002,56451858.77,77,Actif,client4@email.com,0065743274
CLI-10005,Fatima Bennani,PME,AG-005,5949661.19,69,Actif,client5@email.com,0069108651
CLI-10006,Hassan Idrissi,Bancassurance,AG-002,3903435.09,95,Actif,client6@email.com,0064174082
CLI-10007,Zineb Lamrani,Bancassurance,AG-007,1107302.56,60,Actif,client7@email.com,0069314377
CLI-10008,Leila Fikri,Particuliers,AG-001,1525278.42,60,Actif,client8@email.com,0064496195
CLI-10009,Hassan Fassi-Fihri,Particuliers,AG-003,545978.47,64,Actif,client9@email.com,0064853810
CLI-10010,Soukaina Mouline,Grandes Entreprises,AG-001,90131977.55,91,Actif,client10@email.com,0062754045
CLI-10011,Soukaina Guedira,Grandes Entreprises,AG-001,82720399.12,56,A risque,client11@email.com,0067342222
CLI-10012,Noureddine Erraji,Professionnels,AG-002,205677.15,59,A risque,client12@email.com,0071922217
CLI-10013,Imane Sbihi,Particuliers,AG-001,402884.43,52,A risque,client13@email.com,0068411966
CLI-10014,Khalid Ouazzani,Grandes Entreprises,AG-014,15412697.06,72,Actif,client14@email.com,0063627271
CLI-10015,Soukaina Fassi-Fihri,Particuliers,AG-001,1638655.7,30,Defaut,client15@email.com,0065649981
CLI-10016,Ahmed Alaoui,Particuliers,AG-001,146124.68,88,Actif,client16@email.com,0072791750
CLI-10017,Soukaina Berrada,Professionnels,AG-003,191085.87,93,Actif,client17@email.com,0063188618
CLI-10018,Soukaina Zniber,PME,AG-013,1886227.46,90,Actif,client18@email.com,0061892063
CLI-10019,Driss Erraji,Particuliers,AG-001,571572.21,54,A risque,client19@email.com,0063959248
CLI-10020,Khalid Slaoui,Particuliers,AG-012,110157.48,48,A risque,client20@email.com,0070221978
CLI-10021,Khadija Bennani,Professionnels,AG-011,69683.23,80,Actif,client21@email.com,0069488893
CLI-10022,Salma Sbihi,Grandes Entreprises,AG-003,6826730.13,63,Actif,client22@email.com,0063432423
CLI-10023,Hassan El Amrani,Particuliers,AG-001,1777882.92,46,A risque,client23@email.com,0069724216
CLI-10024,Amina Fassi-Fihri,Particuliers,AG-001,1609878.88,84,Actif,client24@email.com,0071433066
CLI-10025,Said Benjelloun,Particuliers,AG-001,1146642.45,90,Actif,pas_un_email,0066848028
CLI-10026,Samira Benjelloun,Particuliers,AG-009,134633.52,35,A risque,client26@email.com,0062558162
CLI-10027,Zineb Berrada,Particuliers,AG-001,872852.72,65,Actif,client27@email.com,0063526295
CLI-10028,Amine Hakim,Particuliers,AG-006,629110.58,51,A risque,client28@email.com,0068383568
CLI-10029,Khadija Ouazzani,Particuliers,AG-008,161067.49,52,A risque,client29@email.com,0062455492
CLI-10030,Ahmed El Fassi,Particuliers,AG-008,22263.1,46,A risque,client30@email.com,0065328443
CLI-10031,Hind Guedira,VIP,AG-002,1763259.38,4,Defaut,client31@email.com,0070344215
CLI-10032,Karim Lamrani,PME,AG-005,7331718.15,72,Actif,client32@email.com,0066651895
CLI-10033,Youssef Balafrej,PME,AG-008,2369825.28,47,A risque,client33@email.com,0067994780
CLI-10034,Amina Bennani,PME,AG-013,2896753.3,66,Actif,client34@email.com,0070824861
CLI-10035,Imane Tazi,PME,AG-001,9479420.42,39,A risque,client35@email.com,0071377570
CLI-10036,Hicham Balafrej,PME,AG-001,13078609.13,42,A risque,client36@email.com,0062409649
CLI-10037,Noureddine Mouline,Bancassurance,AG-001,3693837.91,46,A risque,client37@email.com,0071833499
CLI-10038,Imane Fassi-Fihri,PME,AG-001,18623141.28,32,Defaut,client38@email.com,0062643832
CLI-10039,Karim Kabbaj,Particuliers,AG-001,1672109.7,73,Actif,client39@email.com,0071778186
CLI-10040,Driss Jai,Particuliers,AG-005,899302.02,45,A risque,client40@email.com,0069673070
CLI-10041,Rachid Erraji,Particuliers,AG-007,109452.33,65,Actif,client41@email.com,0068194640
CLI-10042,Said Guedira,Particuliers,AG-003,221601.05,41,A risque,client42@email.com,0072293718
CLI-10043,Fatima Bennani,Particuliers,AG-002,989021.86,70,Actif,client43@email.com,0072128358
CLI-10044,Hicham Mouline,Particuliers,AG-001,1857431.73,46,A risque,client44@email.com,0067787987
CLI-10045,Amina Bennani,Particuliers,AG-002,527056.27,48,A risque,client45@email.com,0063692689
